week,ajb9b3.csv,ajdqnf.csv,amsh7c.csv,anfz9.csv,bay6g7.csv,bpc42.csv,cjdk88.csv,ctkbn4.csv,dlokv6.csv,dsdxd8.csv,dtqb7d.csv,elnfhc.csv,habc8.csv,hemmb2.csv,hmnhx4.csv,hnldm2.csv,jac345.csv,jahq76.csv,jdf5g4.csv,jfk535.csv,jhgn9c.csv,jkn7fc.csv,jlgwxc.csv,jlkm94.csv,jmd5h8.csv,jrrgxf.csv,kab5zb.csv,kah89f.csv,kdcncc.csv,kedgm9.csv,krh5f5.csv,mdvw5.csv,mjpg95.csv,mmg9n6.csv,ms8m4.csv,mtf7w2.csv,mwwcn6.csv,ngtp8b.csv,nhm2p3.csv,njd5zf.csv,nm8c7.csv,oro26b.csv,pecxc9.csv,pnb79.csv,pt7td.csv,rrg3md.csv,tah5z2.csv,tcdzb7.csv,tjdpzd.csv,tlgdq9.csv,vvmmvd.csv,wahbf.csv,wgocnc.csv,zws2p8.csv
week1,0.001,0.001,2078.512286324786,0.001,0.001,3666.017688839123,0.001,0.001,0.001,0.001,0.001,0.001,0.001,863.266369047619,0.001,77.24007908734603,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,16.843971631205672,0.001,0.001,0.001,0.001,5882.8125,0.001,0.001,8026.822916666668,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,4235.677083333333,0.001,0.001,0.001,0.001,0.001,0.001,0.001,61.76217130908866,0.001,77.89335197226391
week1,0.001,0.001,27557.80530027304,0.001,0.001,4741.053405506529,0.001,15.845070422535212,0.001,0.001,0.001,0.001,0.001,1455.5059523809525,0.001,70.98740590394425,0.001,0.001,1833.4388345534967,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,13941.621276266009,0.001,0.001,1078.4259538456186,0.001,0.001,3090.932953042328,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,3562.5,0.001,0.001,0.001,0.001,0.001,0.001,0.001,1940.0998059480207,0.001,0.001
week1,0.001,0.001,4408.653846153847,0.001,309.45166562732373,6635.010653409091,0.001,0.001,0.001,0.001,0.001,0.001,0.001,218.75,0.001,83.33666344567666,0.001,0.001,0.001,0.001,0.001,0.001,0.001,16.843971631205672,0.001,0.001,0.001,3143.971432898797,0.001,0.001,852.3008507337062,0.001,7125.0,1550.2232142857144,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,2317.383228707953,0.001,0.001,0.001,9.09090909090909,0.001,0.001,0.001,0.001,0.001,79.78723404255321
week1,0.001,0.001,0.001,0.001,0.001,6593.300189393939,0.001,0.001,0.001,0.001,0.001,0.001,0.001,913.4432164634146,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,15.957446808510635,0.001,53.80429507978872,24.06442464806436,0.001,431.71021540316843,18.56617647058824,7125.0,63848.6328125,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,21323.91539247425,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
week1,0.001,0.001,0.001,0.001,0.001,6786.592675264549,0.001,0.001,0.001,0.001,0.001,0.001,0.001,1727.50496031746,0.001,0.001,0.001,0.001,10.106382978723405,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,139.11039397430528,33.333333333333336,0.001,322.7216581963303,0.001,41847.22222222223,3518.037341889881,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,42317.80383627861,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,79.78723404255321
week1,0.001,0.001,4890.625,0.001,0.001,2656.799363830614,0.001,0.001,0.001,18.76405547226387,0.001,0.001,0.001,1461.593124568668,0.001,0.001,0.001,0.001,10.127977814148029,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,23499.661543963168,0.001,7125.0,48365.674039502155,0.001,0.001,0.001,0.001,47.39010989010989,0.001,15.845070422535212,0.001,0.001,90765.69698708008,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
week1,0.001,0.001,2059.4150641025644,0.001,0.001,4877.9288475447665,0.001,0.001,0.001,0.001,0.001,0.001,0.001,1100.7279829545455,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,14323.105594958477,0.001,0.001,0.001,0.001,0.001,0.001,460.1745587143257,0.001,0.001,39059.42046957672,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,173936.09095518762,0.001,0.001,0.001,0.001,2375.0,0.001,0.001,0.001,0.001,80.64516129032258
week1,0.001,0.001,12390.242165111158,0.001,0.001,4162.242796077823,0.001,0.001,0.001,0.001,0.001,0.001,0.001,844.5659158549784,0.001,0.001,11.556952662721894,0.001,0.001,0.001,11.488970588235295,0.001,0.001,21922.59000541568,0.001,0.001,0.001,0.001,25.53763440860215,0.001,3700.5044237569755,0.001,0.001,9242.912831607671,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,40095.599148528025,0.001,0.001,0.001,0.001,1814.583333333333,0.001,0.001,0.001,0.001,0.001
week1,0.001,0.001,9210.76495150866,0.001,3555.963041851714,2654.248962842713,0.001,0.001,0.001,0.001,0.001,0.001,0.001,1288.3184523809525,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,3609.375,0.001,0.001,10.195035460992909,0.001,0.001,0.001,122.72945604855127,0.001,0.001,35421.3641826923,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,5012.559526838951,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,66.82180851063829
week1,0.001,0.001,25361.227722810683,0.001,83.62148738125302,3221.5947420634916,0.001,0.001,0.001,0.001,0.001,0.001,0.001,672.6753048780488,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,65.57078086089196,0.001,7125.0,3097.4385098711687,0.001,0.001,0.001,0.001,79.03386935645,0.001,0.001,0.001,0.001,28916.476047742057,0.001,0.001,18774.12281193457,16.07142857142857,0.001,0.001,0.001,0.001,0.001,0.001
