Real First Packet,doctets/duration
1360593330.077,4458.333333333333
1360593330.627,3645.8333333333335
1360593335.418,5468.75
1360593316.241,47468.75
1360593341.46,3645.8333333333335
1360593339.017,3343.75
1360593335.474,18410.714285714286
1360593317.351,544.2469418960245
1360593316.915,32767.578125
1360593317.774,1984.375
1360593318.538,608531.25
1360593321.816,15141.544117647058
1360593323.378,152484.375
1360593323.546,387.6953125
1360593322.238,1638.888888888889
1360593349.526,3645.8333333333335
1360593329.067,1086.1037234042553
1360593352.849,29547.610294117647
1360593352.848,3645.8333333333335
1360593352.646,3645.8333333333335
1360593359.152,3117.1875
1360593358.531,20468.75
1360593355.516,1822.9166666666667
1360593334.905,323.81272401433694
1360593360.732,1568.7196601941748
1360593356.764,2442.5287356321837
1360593360.09,14265.625
1360593361.176,563.1510416666666
1360593361.239,863.4765625
1360593360.215,2404.8828125
1360593361.239,398.2421875
1360593360.405,3007.8125
1360593360.468,5007.8125
1360593360.659,5351.5625
1360593356.325,5572.098214285714
1360593356.324,3231.808035714286
1360593356.324,132.40131578947367
1360593356.584,1651.1040419161677
1360593360.807,4828.125
1360593361.186,462.6953125
1360593365.472,6020.833333333333
1360593360.606,3007.8125
1360593356.895,1806.9797904191616
1360593356.895,74.43820224719101
1360593360.159,4750.0
1360593358.789,80.38194444444446
1360593355.698,2736.424180327869
1360593376.783,5078.125
1360593358.844,16.183035714285715
1360593356.922,6671.875
1360593358.246,6053.22265625
1360593359.363,247359.375
1360593360.375,160968.75
1360593361.819,7181.712962962963
1360593362.627,5093.75
1360593362.69,249.66755319148936
1360593363.642,8015.625
1360593363.705,2939.375
1360593363.895,3266.335227272727
1360593362.404,430859.375
1360593362.974,48218.75
1360593363.481,4007.8125
1360593364.094,1646.875
1360593365.016,86897.32142857143
1360593366.542,6968.75
1360593366.857,16427.083333333332
1360593367.11,239078.125
1360593365.154,11453.125
1360593406.185,273.4375
1360593405.441,101.5625
1360593409.638,22.17440119760479
1360593485.51,5410.15625
1360593486.161,4273.4375
1360593561.124,869.7265625
1360593560.949,1085.8569587628865
1360593560.949,330.70231958762884
1360593560.071,267718.75
1360593603.81,19742.1875
1360593618.457,536.5767045454546
1360593618.457,405.1846590909091
1360593618.456,1397.3721590909092
1360593618.456,465.0213068181818
1360593618.411,1868.0752840909092
1360593604.936,45781.25
1360593615.507,144400.390625
1360593614.727,4890.625
1360593618.511,20647.56944444444
1360593619.14,14220.052083333334
1360593619.302,1803.9772727272727
1360593655.747,2734.375
1360593640.193,3002.7573529411766
1360593677.746,5078.125
1360593666.324,4273.4375
1360593665.767,5417.96875
1360593711.597,2734.375
1360593713.04,2421.875
1360593711.865,2734.375
1360593712.116,3645.8333333333335
1360593711.622,4090.3532608695655
1360593927.351,4890.625
1360593936.97,25000.0
1360593942.033,5104.6875
1360594095.056,4890.625
1360594594.919,221.5909090909091
